'8:25pm (more or less  did my best w/ little alterations) #ButteFire #Fire\xe2\x80\xa6 https://t.co/U90vKQ1Xov', NA
'If anyone needs a place to stay  Glory Bound church in Burson is housing #buttefire #shelter @ Glory\xe2\x80\xa6 https://t.co/y3q7GNd1rL', NA
'Headed to the #ButteFire in Calaveras County. A huge plume of smoke is visible from HWY49 &amp; HWY12. http://t.co/vGrdX1XmaN', A
'This Amador County home is one of the hundreds threatened by the #buttefire. Owner stayed overnight\xe2\x80\xa6 https://t.co/VmKxwS1a6g', A
If anyone needs anything let me know #buttefire #micasasucasa @ Valley Spring's https://t.co/DEhuG3Sd28, NA
'#Hanford remembers #911. #kingscountyfiredepartment #neverforget @ Anita Barnett Hair Designs https://t.co/WHvVdfmSvR', NA
'Back at the #ButteFire this morning where firefighters are still working to knock down flames on Mountain Ranch Rd. http://t.co/QDsxEhAD7I', NA
'Reentry #ButteFire #Fire #Smoke #Smokey #Reentry #Returning #SanAndreas\xe2\x80\xa6 https://t.co/1b5vp4NgrL', NA
'As Seen from the Driveway #ButteFire #Fire #Driveway #Smoke #Smokey\xe2\x80\xa6 https://t.co/AYgclAP0eL', NA
'Mini-Roadblock #ButteFire #Fire #FireTrucks #Trucks #Smoke #Smokey @ City\xe2\x80\xa6 https://t.co/ApHcgYfCTy', NA
'Tagging along with an animal evacuation team as they try to enter areas affected by the #ButteFire. http://t.co/meiuRZOxIW', A
'Hwy 29 is closed #valleyfire @ Lower Lake  California https://t.co/T6goIMf7V0', A
#valleyfire @ Ray's Food Place https://t.co/EPjgorj06X, NA
'Pass this along to any in need of the info #buttefire #buttefire2015 @ Valley Springs Youth https://t.co/2kcs46HELb', NA
'Cruisers Ice Cream serving the volunteers #buttefire2015 #buttefire @ Community United Methodist Church https://t.co/0n3b1Txndh', NA
'#buttefire #buttefire2015 @ Good Samaritan Community Covenant Church https://t.co/6fYdtRS3gC', NA
'Pass this along to any in need of the info #buttefire #buttefire2015 @ Valley Springs Elementary https://t.co/H0LHBD0saR', NA
'Pass this along to those that need it.. #buttefire #buttefire2015 @ Taco Bell https://t.co/Ut86EDHKji', NA
'Choppers carrying water to the front line in San Andreas #butte #buttefire #firecontrol #workinghard\xe2\x80\xa6 https://t.co/ZgxEZa9VZ4', NA
'We can only sit and wait. Watching the smoke close in on our little town. #butte #buttefire\xe2\x80\xa6 https://t.co/E6POIacCSr', NA
Goin' Round (FTB  Thursday) #ButteFire #Fire #Smoke #Smokey #Trees #Plane\xe2\x80\xa6 https://t.co/eD6zpCuiG7, NA
'From the Beginning (FTB) (Thursday) #BlueSky #Plane #ButteFire #Fire\xe2\x80\xa6 https://t.co/xcn1tsSc9t', NA
'From the Road (FTB  Thursday) #ButteFire #Fire #Smoke #Smokey #Trees\xe2\x80\xa6 https://t.co/76JeIuf3Hi', NA
'Darkness Falls (FTB  Thursday) #ButteFire #Smoke #Smokey #DarknessFalls\xe2\x80\xa6 https://t.co/766IMO218u', NA
Spokesman says people can't return to homes  it's too dangerous with power lines down  trees falling  etc. #valleyfire, A
